	User	Location	Tweet	Date/Time of Tweet
504	NewBlueWave3	Keego Harbor, MI	"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:34:44
505	Idanielaa96	Manchester 	RT @nadinebh_: For me to drive from London to Manchester and back it’ll cost me about £25-30 in petrol - to get a train it’s about £70/80 a…	2020-03-02 03:34:44
506	nukeryan		RT @NEI: “You can produce electricity of an intermittent nature, but you are going to also need 24/7 baseload energy supply that is kind to…	2020-03-02 03:34:43
507	newcm_50	SW Qld	RT @IceAgeWatch: BOM adjusting temperature data yet again for their climate change hoax, when are these people going to face charges? https…	2020-03-02 03:34:43
508	niayaaa__	Guam	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:43
509	cjonathan09		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:41
510	happyfinko	Canada	"RT @sidney_chest: THE USA....

NO CARBON TAX...

AND NO CLIMATE CHANGE ISSUES 

CANADA,LOL

BEING SOLD A CORRUPT BILL OF GOIDS BY A WEAK CO…"	2020-03-02 03:34:40
511	Cmoss33Moss		RT @climatecouncil: Climate change is turning summer into a season of anxiety &amp; now, according to a new report from @TheAusInstitute, that…	2020-03-02 03:34:40
512	1Eberhart		RT @ZubyMusic: Am I the only person who is not remotely fearful of the coronavirus nor climate change?	2020-03-02 03:34:38
513	sophielstrauss	NY/LA	"Big issues for the voters we spoke with were immigration, climate change, and incarceration. 

Many are first-time… https://t.co/6ZEGyq5KRn"	2020-03-02 03:34:37
514	colleenwilson20	brisbane	RT @BBCNews: Hundreds call for organisers of Greta Thunberg climate change rally to pay for damage caused to green space https://t.co/0mAlY…	2020-03-02 03:34:36
515	uncriticalsimon	Newport	RT @JoshuaHerr6: .@aoc: Hero of Time. https://t.co/ktmm8Kqyri	2020-03-02 03:34:33
516	KivaRy	Oregon & Vermont	"RT @KQEDscience: Still deciding who to vote for?

Read up on each candidate’s position on climate change: https://t.co/wnxVbhgx0W"	2020-03-02 03:34:32
517	bellbri25	lycoming college	@IChoozLiberty @iamasexyclown thats not what they mean. they mean we have 6-12 years to fix this issue before our m… https://t.co/1tCC7x63xk	2020-03-02 03:34:31
518	sammy_rosa7	Dallas, TX	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:30
519	DrGlenn5	Penticton, British Columbia	"RT @JunkScience: ""Steyer billed himself as the only candidate who would make climate change his No. 1 priority as president.""

$267 million…"	2020-03-02 03:34:27
520	archimed115		"RT @PaulEDawson: “Again and again, the same message,”

“Listen to the scientists, listen to the scientists. Listen to the scientists!”

Wel…"	2020-03-02 03:34:23
521	azrebb	Sydney, New South Wales	@AdamBandt The wine industry is already dangerously propped up by the W.E.T. scheme. It's going to collapse regardl… https://t.co/jw03xhNhkb	2020-03-02 03:34:23
522	dishakk_	Washington, DC	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:22
523	Gentris_Jointe	Philadelphia, PA	@AaronShure @ewarren @JoeBiden @BernieSanders Vote Bernie. He has the best chance right now and Joe won’t act decis… https://t.co/9IFqHrLb2r	2020-03-02 03:34:21
524	Karen_S05	Framingham, MA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:20
525	hyfreelance		RT @ICFJ: Stories from our Alumni Reporting grantees are out! These five journalists were able to bring their audiences data-driven, immers…	2020-03-02 03:34:20
526	ZarahLyles	California 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:20
527	nishagopalanhk	Hong Kong via London	RT @economics: Singapore is innovating a financing model that can save the world from sinking, writes @andymukherjee70. It's as ambitious,…	2020-03-02 03:34:18
528	scoutstandup	Serf Town USA	RT @WoobieTuesday: “You know Bernie? They say he’s getting up there. I’m 59 yo—he an old ass rapper yo! Know what? Ain’t about him. It’s ab…	2020-03-02 03:34:17
529	Tim_jbo	Australia	"RT @Tim_jbo: Climate change debate ‘alarmist’
https://t.co/4yBpOwVgSj
Nationals MP Michael Johnsen tells parliamentary hearing there is sig…"	2020-03-02 03:34:14
530	jthebeatfreak	Jamaica Plain, MA	"RT @FinGregg: Climate change is a clear threat to the stability of the financial system. 

@ewarren has a plan for that.

The policies offe…"	2020-03-02 03:34:13
531	WesternFreedom		RT @rexglacer: Even with the country near shut down with economic damages into the billions, police &amp; Govt paralyzed with fear, divided &amp; p…	2020-03-02 03:34:13
532	andymukherjee70	Hong Kong	RT @economics: Singapore is innovating a financing model that can save the world from sinking, writes @andymukherjee70. It's as ambitious,…	2020-03-02 03:34:12
533	projectionedge	Vallejo, CA	@DemonBob_Badman Dr. Bunsen Honeydew takes on the climate change deniers by showing the long-term climate effects on Beaker.	2020-03-02 03:34:12
534	CimeonTyrrell	bermuda	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:07
535	kamorant	Ontario, Canada	@TechnicalBard @citizensclimate @SteveRickettsSP @KHayhoe Didn't you watch the video? Humans have never had to adap… https://t.co/K7nkJpLwQO	2020-03-02 03:34:06
536	itsmeejbee	Australia	RT @KeiraSavage00: A local council Mayor is under fire for blowing Mt Alexander shire ratepayers money on ‘climate resilience classes’ to h…	2020-03-02 03:34:06
537	moonymercury	the other side	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:02
538	thetoxicfemme	biAMI. 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:34:02
539	NelsonEngland	London/Norfolk	The UK’s first climate change refugees? https://t.co/awTx8O3HS1	2020-03-02 03:34:02
540	TheTaijiNews	 London, UK	"RT @SeaShepherdYVR: DATE Change! 

March 15th at 11am! 

We’re heading back to Crab Park for our first official beach clean of 2020!
Sunday…"	2020-03-02 03:34:01
541	sandeepkc0073		Humans should worry more about dangers that can spread exponentially and in a very short amount of time (weeks/mont… https://t.co/ofoROHXJPs	2020-03-02 03:34:00
542	taylettaa		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:59
543	DILIPPANDEY3	DALTONGANJ . JHARKHAND, INDIA	RT @BillGates: People all over the world are already being affected by a warmer world. What should the plan to address climate change look…	2020-03-02 03:33:57
544	J_McGrody		"@BillCorbett The thing is, Bloomberg has donated $5 million to Stacey Abrams and voting rights group.

He's fightin… https://t.co/SKaVtigQpF"	2020-03-02 03:33:57
545	farmingforever		"RT @VicGovGrains: 📝 Register now 📝 
We will hear from @climatedogs important background on weather forecasts, seasonal outlooks and climate…"	2020-03-02 03:33:56
546	TheTaijiNews	 London, UK	"RT @OP_Society: Researchers examine nations losing fish species due to climate change. #Seafood #WhatsYourBycatch #ClimateCrisis
https://t.…"	2020-03-02 03:33:56
547	kgh1959		@SkyNewsAust Bullshit haven't had summer in Melbourne yet still waiting for a continuous long hot spell like we use… https://t.co/31YqenTLHA	2020-03-02 03:33:55
548	RobJP_		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:55
549	kitia_lockhart	Carlsbad, CA	"RT @jxeker: congratulations to everyone that completed the second month of 2020, in total you’ve survived:

- world war III threats
- a wor…"	2020-03-02 03:33:54
550	leopardlibra22	Memphis vs Everybody	"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:33:54
551	sampoornaa		"RT @ChrisMartzWX: ""We are all born ignorant, but one must work hard to remain stupid."" - Benjamin Franklin

Ice shoves are caused by strong…"	2020-03-02 03:33:53
552	iamasexyclown	Your mind 	@IChoozLiberty @bellbri25 That’s not what the facts are though, climate change will surely kill us, but not that so… https://t.co/pqBcAqUo5n	2020-03-02 03:33:52
553	orlandonicoara	Bucharest	RT @business: Summers in Australia are now a month longer than they were in the 1950s as climate change upends traditional weather patterns…	2020-03-02 03:33:51
554	CrosbyJenet	South Carolina, USA	"RT @NahBabyNah: Do you think they even realize the HYPOCRISY??

@BernieSanders gets on wrong private jet

‘Warriors against climate change’…"	2020-03-02 03:33:50
555	valeeriiaa__	Kansas City	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:47
556	mgjefferies	Toowoomba, Queensland	"RT @TheAusInstitute: ""Our findings are not a projection of what we may see in the future. It's happening right now,"" @richiemerzian

Aus su…"	2020-03-02 03:33:47
557	a_lovesmac	Los Angeles, CA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:46
558	merrittphoto	Denver, CO	@BenjaminPDixon Absolutely. Restoring decency and hope. Improving upon the ACA and restoring our relationship with… https://t.co/QUsix4Rcxs	2020-03-02 03:33:45
559	A_Siegel		RT @davidsirota: I told this to @TomSteyer (who I think is a good guy) when he visited Denver a few years back, and I’m gonna say it again:…	2020-03-02 03:33:43
560	StephyK97	Birmingham, England	RT @nadinebh_: For me to drive from London to Manchester and back it’ll cost me about £25-30 in petrol - to get a train it’s about £70/80 a…	2020-03-02 03:33:39
561	dondeljul	UK	RT @BBCNews: Hundreds call for organisers of Greta Thunberg climate change rally to pay for damage caused to green space https://t.co/0mAlY…	2020-03-02 03:33:39
562	amynicole1274		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:38
563	RavenPrey	#TheXperience #FallOnMeVideo	RT @emrazz: Why do you think it was printed? Because rape is funny? Why an oil company raping Thunberg, a climate change activist - could i…	2020-03-02 03:33:38
564	Beer_and_Roses		"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:33:38
565	BerghorstDoug		RT @ZubyMusic: Am I the only person who is not remotely fearful of the coronavirus nor climate change?	2020-03-02 03:33:37
566	BoilingCrude		RT @xtrabiggg: @marypatriott @IngrahamAngle His insufferable ads paint him as some God-Like figure here to save us all from the horrible co…	2020-03-02 03:33:37
567	GSSHaltonPeel	Halton & Peel	"RT @ClimateReality: To fight the climate crisis, we need to support farmers and work toward a more sustainable future.
https://t.co/IgOFCiq…"	2020-03-02 03:33:36
568	bkxnz	Earth	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:32
569	Millicent8	Pennsylvania and Colorado	RT @MikeMar82888097: @GretaThunberg Greta, you've got the world talking (that includes arguing and denying) about climate change. That is a…	2020-03-02 03:33:32
570	debbie_prest		RT @KeiraSavage00: A local council Mayor is under fire for blowing Mt Alexander shire ratepayers money on ‘climate resilience classes’ to h…	2020-03-02 03:33:31
571	x0_tania_x0		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:30
572	NikaDGreat	The Bayou ⚜️	"RT @jxeker: congratulations to everyone that completed the second month of 2020, in total you’ve survived:

- world war III threats
- a wor…"	2020-03-02 03:33:29
573	apnordling	Portland, Oregon	RT @tedalexandro: I do not envy this generation. For all the bullshit people throw at them, they’re entering adulthood as the economy teete…	2020-03-02 03:33:28
574	Bongsong2		"RT @BobRmhenry1: DWR says CA Bay Area not getting Februaryrains for the first time since 1864 is due to climate change......

Really? Was i…"	2020-03-02 03:33:27
575	msdeplorable2	Southern California	@KashJackson2018 @DonaldJTrumpJr @SpeakerPelosi @realDonaldTrump @RealJohnDennis Nancy and the Dems are worried abo… https://t.co/4ouIUxbm3Y	2020-03-02 03:33:25
576	lookatliltea		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:25
577	MarcelloBello7	Europe/USA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:22
578	queenquito	DFMB 	"RT @Meck0: The Bahamas on 60 mins. 

Some good tidbits here:

-Solar grids on Ragged Island and Abaco.

-30 percent solar by 2030.

-Insura…"	2020-03-02 03:33:22
579	ps_byrd	Dallas • Chicago • DC	"On one hand, climate change and destroying the world we live in are terrible things.

On the other hand; it’s March… https://t.co/qPblhScZN0"	2020-03-02 03:33:21
580	tiIIdusk	Paris, France	@Greenpeace I wouldn't blame them for using coal... they are the climate guinea pig and proof of concept for the wo… https://t.co/diqLOVSWDu	2020-03-02 03:33:21
581	ellendeubner	peaceOnEarth	"RT @mrdannyglover: What type of society &amp; planet do you want to leave for your children &amp; grandchildren? Bernie will 
➡️ Create an economy…"	2020-03-02 03:33:19
582	onahunttoday	USA	RT @GretaThunberg: “The vast amounts of carbon stored in Congo basin’s peatland forests means they are of global importance in the fight ag…	2020-03-02 03:33:17
583	kategoliday		RT @sarahkendzior: @benFranklin2018 Yes. Organized crime the Trump admin's ties to it should be discussed as a mainstream election issue. Y…	2020-03-02 03:33:15
584	klia00		"RT @FinGregg: Climate change is a clear threat to the stability of the financial system. 

@ewarren has a plan for that.

The policies offe…"	2020-03-02 03:33:15
585	suppjuan	Orange County, California.	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:14
586	Bernieorbustyou	California, USA	"RT @TwinklingTania: Things I don’t hear while canvassing:
-Bernie bros
-Bernie is a socialist
-Bernie yells

Things I hear:
-marijuana lega…"	2020-03-02 03:33:13
587	archimed115		"RT @PaulEDawson: ""He is locking in permanent, irreversible damage to our environment through his irresponsible environmental policies,""

""O…"	2020-03-02 03:33:12
588	wimbrooklyn	Centre of the Ontario Universe	"RT @ChrisMartzWX: ""We are all born ignorant, but one must work hard to remain stupid."" - Benjamin Franklin

Ice shoves are caused by strong…"	2020-03-02 03:33:12
589	kamorant	Ontario, Canada	RT @citizensclimate: Yes, #climatechange has happened throughout earth's history, but as climate scientist @KHayhoe explains, the change we…	2020-03-02 03:33:11
590	Imnotnigel		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:11
591	perfectly_kyla	Atlanta	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:06
592	amandadiuluss	probably a concert 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:03
593	HowieDoinItLLC	Delray Beach, FL	RT @HonestSeth: Let's grow @PLNTBurger !  Climate change is real, and so is our power to act.  https://t.co/pD5dqaNqbT	2020-03-02 03:33:02
594	ikecip		What Does Climate Change Have to Do With Fighting Hunger? https://t.co/AW4FkTjjV3 #globalcitizen	2020-03-02 03:33:01
595	reanuhh		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:33:00
596	10daytrapr	Atlanta, GA	"RT @237_ent: The overarching themes of this event are sustainability, climate change, &amp; environmental justice (EJ).

We’re accepting all fo…"	2020-03-02 03:33:00
597	anapalindrome_	chicago	"@Mr_JJT yes, my dude. in the year 2020:

working class in economic despair ✔️

social strife tearing USA apart ✔️… https://t.co/TdF7uTj8K9"	2020-03-02 03:32:59
598	Hallbm03Hall		RT @BernieSanders: Thank you @TomSteyer for running a campaign to bring the crisis of climate change to the forefront of our national conve…	2020-03-02 03:32:58
599	RyanIsis_		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:58
600	deriz_no_bot	Planet	For some reason I bet climate change deniers will say its the weather who did that. Would bet on this one.	2020-03-02 03:32:56
601	briseida_tizoc	Arizona, USA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:56
602	natesparks130	Midwest	"Let's not forget ""Pray on it"" was exactly how Pence responded, after his own ineptitude led to an HIV outbreak in I… https://t.co/g3d3RV0i8S"	2020-03-02 03:32:56
603	k_ilsy	New York, NY	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:56
604	Elle14847031		RT @60Minutes: “First World nations make the greatest contribution to climate change… We're the ones that are being impacted by what you ha…	2020-03-02 03:32:56
605	oscorft		"RT @SusanCo68078551: THE EMPIRE STRIKES BACK 

CLIMATE REALIST NAOMI SEIBT BLOWS GRETA the Climate Alarmist out of the water, everyones had…"	2020-03-02 03:32:55
606	bloomingrhythm		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:54
607	BrianMahony11		"@Auspol
""I am calling on all MPs to think carefully about the responsibility they owe to their electorates, their c… https://t.co/h9fk3yttpV"	2020-03-02 03:32:52
608	MMMukalla		RT @hopihoekstra: How can any respectable university (@MasseyUni) dismantle its thriving science program?? How will you educate the next ge…	2020-03-02 03:32:51
609	MarkSchlieder	Spencer ny	RT @JWSpry: TEAM GRETA Admits Climate Change Has Nothing To Do With The Environment https://t.co/ZJPw7oF8Ll via @JWSpry	2020-03-02 03:32:51
610	SeannaQ	Vancouver BC	RT @GretaThunberg: “The vast amounts of carbon stored in Congo basin’s peatland forests means they are of global importance in the fight ag…	2020-03-02 03:32:51
611	paulagetsit		"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:32:50
612	MrCoates314	Under The Arch #STL	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:49
613	Mr__Hat_n_Clogs	Orange County, Ca	"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:32:48
614	JoshuaHerr6	Los Angeles, CA	.@aoc: Hero of Time. https://t.co/ktmm8Kqyri	2020-03-02 03:32:46
615	cravingcole		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:44
616	JimSinger3		@bigmikesbeard89 @escamillasclass @Ron_Nirenberg Eventually as with the common cold this virus will arrive.  Worry… https://t.co/HIbcLyPOs4	2020-03-02 03:32:44
617	Sqawkin	Ballarat, Australia	RT @climatecouncil: Since 1990, greenhouse gas emissions from the transport sector have gone up 64%, the largest percentage increase of any…	2020-03-02 03:32:43
618	shivatandava20	Karnataka, India	"Their dirty mindset is same irrespective of border ..

""Islamic Radical Terrorism"" also one of Global challenge tod… https://t.co/zVjhm3VeDu"	2020-03-02 03:32:43
619	channel_clear	Planet Earth—We Are Not Alone	RT @hollywoodufos: The 2020s are the new 1960s. The stakes are high, change and transformation are in the zeitgeist. Only this time we have…	2020-03-02 03:32:41
620	luluonti	México, D.F.	RT @IUCN: Coral reefs support more than 500 million people worldwide, but they are among the most threatened ecosystems on Earth https://t.…	2020-03-02 03:32:41
621	OchoaVaness	LTX 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:35
622	ChrisMadsen01		RT @ZubyMusic: Am I the only person who is not remotely fearful of the coronavirus nor climate change?	2020-03-02 03:32:34
623	scicomjon		"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:32:34
624	stellenfietsry	Stellenbosch, South Africa	RT @dw_environment: A 10-year plan developed by regional authority #Brussels Mobility, in consultation with municipal authorities and local…	2020-03-02 03:32:33
625	nickbro58	Scotland	RT @nadinebh_: For me to drive from London to Manchester and back it’ll cost me about £25-30 in petrol - to get a train it’s about £70/80 a…	2020-03-02 03:32:32
626	bbyfxiry		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:31
627	barbiegoinbaad		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:31
628	McKenzieAmanda	Sydney, Australia	RT @climatecouncil: Tomorrow, Climate Councillors Prof. Lesley Hughes &amp; Greg Mullins will be answering questions about climate change - the…	2020-03-02 03:32:31
629	matthewhayden	Sydney, New South Wales	"RT @SusanCo68078551: THE EMPIRE STRIKES BACK 

CLIMATE REALIST NAOMI SEIBT BLOWS GRETA the Climate Alarmist out of the water, everyones had…"	2020-03-02 03:32:29
630	TheyLovethePuff	Bim	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:28
631	lust4lifelaura	El Paso, TX/ Tucson, AZ	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:27
632	GahBriEhl	Secret place of the Most High.	RT @nadinebh_: For me to drive from London to Manchester and back it’ll cost me about £25-30 in petrol - to get a train it’s about £70/80 a…	2020-03-02 03:32:25
633	Knuckle_HeadTV	The Grey Order	@c_rwest @Chicagofan76 @BenEv12 Hey I actually have to get hitting the hay, but I’d be more than happy to continue… https://t.co/mfsdlKqCyJ	2020-03-02 03:32:25
634	_SaulMZ	Las Vegass	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:24
635	mlwilliams55	Pleasant Hill, MO	RT @PeteButtigieg: .@TomSteyer, thank you for your passion and your advocacy. This election has been made better by your voice on climate c…	2020-03-02 03:32:24
636	yoselyne_cerros	California, USA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:24
637	MercedessRose	Atlanta, GA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:20
638	Irishbrat1966		"RT @Chronic_FLKeys: Thought: With all the ways those 'in control' are attempting to cull the herd (climate change/coronavirus is a ""hoax"",…"	2020-03-02 03:32:20
639	archimed115		RT @wcaudubon: Implications of Climate Change in the Arctic, Dr. Anne Farley Schoeffler https://t.co/iWWioYQKEx via @YouTube	2020-03-02 03:32:20
640	YaungDavid	United States	RT @AndrewYang: Tom Steyer is a great American and patriot who has spent years fighting for racial justice and addressing climate change. H…	2020-03-02 03:32:20
641	SpurFanInSA		RT @amyklobuchar: Thanks @TomSteyer for what you brought to this campaign. Your crusade to make climate change the #1 issue changed minds &amp;…	2020-03-02 03:32:20
642	PatrykLomza	Winnipeg, Canada	RT @rexglacer: Even with the country near shut down with economic damages into the billions, police &amp; Govt paralyzed with fear, divided &amp; p…	2020-03-02 03:32:19
643	P_Pattaravadee	Thailand	Apps and #blockchain help European supermarkets lure climate-conscious consumers: “There’s more awareness than ever… https://t.co/TEWXw031GV	2020-03-02 03:32:15
644	epeterd916		@Dan_Camm And it's not taking into account any of the climate change disasters.	2020-03-02 03:32:14
645	GrazzaBarnett	Cooma NSW	@RosemaryDiaz13 The truth is that most Australians will nod to the idea but would want to have no change to their l… https://t.co/1rSY4IcbJD	2020-03-02 03:32:13
646	marieecarmen	PNW	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:10
647	msianinsight	Kuala Lumpur City	Longer Australian summers due to climate change https://t.co/cVolDLaPeU https://t.co/nVIKSnTbtc	2020-03-02 03:32:08
648	itsdasbueni	Tampa, FL	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:06
649	mireyehh		RT @decafmari_: the fact that a young girl simply asking for people to give a fuck about climate change incites this kind of disgusting res…	2020-03-02 03:32:05
650	ktblairrr	Spokane, WA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:32:03
651	LeftGetAlong		@LuLuRoche @ProudResister That literally does not matter. There is too much at stake in this election. Bernie's cli… https://t.co/ucXx6Jn3Vk	2020-03-02 03:32:01
652	NittanyJenD		RT @talavin0: What’s next for Delaware as it tackles climate change? State officials promise a new roadmap https://t.co/Ui9rZ8qiFK	2020-03-02 03:31:57
653	JayvenPorter		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:56
654	badboidem	Dallas Tx	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:55
655	_wongtong	Barbados	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:54
656	TomasFriedhoff	Amsterdam	@4thForFranklin @BenjaminPDixon @BernieSanders @briebriejoy @AndrewYang @_General_Motors @Tesla @electrify I don't,… https://t.co/qRTRzEcBy0	2020-03-02 03:31:54
657	dadauzh		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:53
658	savegloucester	Gloucester NSW	"RT @1EarthMedia: Coal seam gas fracking company Santos ""2020 Climate Change Report"" was lodged with the ASX on 20/02/2020

Reading now, but…"	2020-03-02 03:31:52
659	laidley_l	New England 	RT @BernieSanders: Thank you @TomSteyer for running a campaign to bring the crisis of climate change to the forefront of our national conve…	2020-03-02 03:31:51
660	Kell1973	Liverpool	RT @nadinebh_: For me to drive from London to Manchester and back it’ll cost me about £25-30 in petrol - to get a train it’s about £70/80 a…	2020-03-02 03:31:51
661	EshaSensei	Kingston Jamaica	Climate change is threatening winter sports' very existence - CNN https://t.co/RUbhHtBrpQ	2020-03-02 03:31:51
662	ndzhfnzri	putra heights 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:50
663	siervito_lindo	Carolina, Puerto Rico	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:49
664	prettybutloko	60100	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:46
665	ThereseRalston	NSW farm in Australian hills.	@Anji_Catlin So many people underwater; this climate change stuff is really hard and sad. Lovely Chaffinch though.	2020-03-02 03:31:44
666	huffshogan	United States	@thebradfordfile @kas040101 How about you giving up your three houses, Quit yelling about climate change and flying… https://t.co/X6EcWGh97e	2020-03-02 03:31:41
667	mamiison	magnolia	RT @GretaThunberg: “The vast amounts of carbon stored in Congo basin’s peatland forests means they are of global importance in the fight ag…	2020-03-02 03:31:40
668	cocacozart	marz.	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:31:39
669	WillB53673337	Terra Australus Del Espirito Santo	RT @BBCNews: Hundreds call for organisers of Greta Thunberg climate change rally to pay for damage caused to green space https://t.co/0mAlY…	2020-03-02 03:31:37
